timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1509697492.148872,sidestep,wavehands,56.16018486022949,False,4.874,339.500,1.655,8.300
1509697500.222239,busdriver,wavehands,4.226258993148804,False,4.889,326.400,1.596,123.933
1509697508.2098932,wavehands,wavehands,12.213913202285767,True,4.884,319.300,1.559,136.369
1509697513.1665359,busdriver,frontback,4.950818777084351,False,4.877,315.900,1.541,144.595
1509697518.668591,frontback,frontback,10.452873945236206,True,4.889,316.800,1.549,152.962
1509697529.0940611,jumping,jumping,10.418352127075195,True,4.870,338.500,1.648,169.488
1509697539.239142,jumping,jumping,10.137563943862915,True,4.865,319.500,1.554,185.594
1509697570.259697,jumping,jumping,31.01411485671997,True,4.878,341.900,1.668,210.378
1509697580.393365,jumping,jumping,10.123095035552979,True,4.869,324.400,1.580,226.789
1509697590.850297,frontback,frontback,10.451750993728638,True,4.889,324.200,1.585,243.130
1509697598.830729,sidestep,sidestep,7.975198984146118,True,4.879,337.100,1.645,255.671
1509697604.0488389,sidestep,frontback,5.211058855056763,False,4.888,327.600,1.601,263.811
1509697614.193372,frontback,frontback,15.355592012405396,True,4.887,315.700,1.543,280.216
1509697622.17633,busdriver,busdriver,7.976863145828247,True,4.874,337.900,1.647,292.519
1509697632.3151848,jumping,jumping,10.133304834365845,True,4.865,317.900,1.547,308.744
1509697642.759956,jumping,jumping,20.578075885772705,True,4.889,320.500,1.567,325.122
1509697655.674131,busdriver,busdriver,12.90804672241211,True,4.878,353.900,1.726,346.001
1509697666.105021,jumping,jumping,10.42579197883606,True,4.889,317.400,1.552,362.355
1509697673.784488,sidestep,jumping,7.674033880233765,False,4.892,320.600,1.568,374.835
1509697681.471,sidestep,jumping,15.360545873641968,False,4.878,343.000,1.673,387.368
1509697707.273647,frontback,jumping,41.16319298744202,False,4.878,336.200,1.640,416.216
1509697870.703849,sidestep,busdriver,7.366045951843262,False,4.888,317.200,1.550,67.011
1509697875.619667,sidestep,busdriver,12.281863927841187,False,4.882,337.000,1.645,75.184
1509697898.970921,sidestep,busdriver,35.63311791419983,False,4.880,315.400,1.539,112.175
1509697904.193003,busdriver,busdriver,40.85519981384277,True,4.884,318.600,1.556,120.201
1509697911.8708968,wavehands,sidestep,7.670968770980835,False,4.880,328.300,1.602,132.532
1509698048.277673,frontback,sidestep,9.542905807495117,False,4.884,314.200,1.535,41.702
